"year","code","value","system","subtype"
1972,"PAV.SHRIMP.CPUE",2.668,"WGOA","abundance"
1973,"PAV.SHRIMP.CPUE",2.267,"WGOA","abundance"
1974,"PAV.SHRIMP.CPUE",2.831,"WGOA","abundance"
1975,"PAV.SHRIMP.CPUE",2.566,"WGOA","abundance"
1976,"PAV.SHRIMP.CPUE",2.781,"WGOA","abundance"
1977,"PAV.SHRIMP.CPUE",2.778,"WGOA","abundance"
1978,"PAV.SHRIMP.CPUE",2.27,"WGOA","abundance"
1979,"PAV.SHRIMP.CPUE",0.934,"WGOA","abundance"
1980,"PAV.SHRIMP.CPUE",1.095,"WGOA","abundance"
1981,"PAV.SHRIMP.CPUE",1.561,"WGOA","abundance"
1982,"PAV.SHRIMP.CPUE",0.91,"WGOA","abundance"
1983,"PAV.SHRIMP.CPUE",1.44,"WGOA","abundance"
1984,"PAV.SHRIMP.CPUE",0.445,"WGOA","abundance"
1985,"PAV.SHRIMP.CPUE",0.754,"WGOA","abundance"
1986,"PAV.SHRIMP.CPUE",1.367,"WGOA","abundance"
1987,"PAV.SHRIMP.CPUE",0.131,"WGOA","abundance"
1988,"PAV.SHRIMP.CPUE",0.075,"WGOA","abundance"
1989,"PAV.SHRIMP.CPUE",0.6,"WGOA","abundance"
1990,"PAV.SHRIMP.CPUE",0.572,"WGOA","abundance"
1991,"PAV.SHRIMP.CPUE",1.176,"WGOA","abundance"
1992,"PAV.SHRIMP.CPUE",0.873,"WGOA","abundance"
1993,"PAV.SHRIMP.CPUE",0.315,"WGOA","abundance"
1994,"PAV.SHRIMP.CPUE",-0.313,"WGOA","abundance"
1995,"PAV.SHRIMP.CPUE",-0.252,"WGOA","abundance"
1996,"PAV.SHRIMP.CPUE",0.97,"WGOA","abundance"
1997,"PAV.SHRIMP.CPUE",0.12,"WGOA","abundance"
1998,"PAV.SHRIMP.CPUE",0.281,"WGOA","abundance"
1999,"PAV.SHRIMP.CPUE",-0.424,"WGOA","abundance"
2000,"PAV.SHRIMP.CPUE",0.266,"WGOA","abundance"
2001,"PAV.SHRIMP.CPUE",0.114,"WGOA","abundance"
2002,"PAV.SHRIMP.CPUE",-0.382,"WGOA","abundance"
2003,"PAV.SHRIMP.CPUE",-0.362,"WGOA","abundance"
2004,"PAV.SHRIMP.CPUE",0.229,"WGOA","abundance"
2005,"PAV.SHRIMP.CPUE",-0.088,"WGOA","abundance"
2006,"PAV.SHRIMP.CPUE",-0.886,"WGOA","abundance"
2007,"PAV.SHRIMP.CPUE",-0.804,"WGOA","abundance"
2008,"PAV.SHRIMP.CPUE",-0.972,"WGOA","abundance"
2009,"PAV.SHRIMP.CPUE",0.427,"WGOA","abundance"
2010,"PAV.SHRIMP.CPUE",-0.25,"WGOA","abundance"
2011,"PAV.SHRIMP.CPUE",-0.42,"WGOA","abundance"
2012,"PAV.SHRIMP.CPUE",0.042,"WGOA","abundance"
2013,"PAV.SHRIMP.CPUE",-0.146,"WGOA","abundance"
2014,"PAV.SHRIMP.CPUE",-0.272,"WGOA","abundance"
2015,"PAV.SHRIMP.CPUE",0.049,"WGOA","abundance"
1972,"PAV.CAPELIN.CPUE",1.037,"WGOA","abundance"
1973,"PAV.CAPELIN.CPUE",0.575,"WGOA","abundance"
1974,"PAV.CAPELIN.CPUE",1.338,"WGOA","abundance"
1975,"PAV.CAPELIN.CPUE",0.304,"WGOA","abundance"
1976,"PAV.CAPELIN.CPUE",-0.263,"WGOA","abundance"
1977,"PAV.CAPELIN.CPUE",1.167,"WGOA","abundance"
1978,"PAV.CAPELIN.CPUE",-0.631,"WGOA","abundance"
1979,"PAV.CAPELIN.CPUE",-0.742,"WGOA","abundance"
1980,"PAV.CAPELIN.CPUE",0.06,"WGOA","abundance"
1981,"PAV.CAPELIN.CPUE",0.119,"WGOA","abundance"
1982,"PAV.CAPELIN.CPUE",-0.545,"WGOA","abundance"
1983,"PAV.CAPELIN.CPUE",-1.571,"WGOA","abundance"
1984,"PAV.CAPELIN.CPUE",-1.396,"WGOA","abundance"
1985,"PAV.CAPELIN.CPUE",-1.666,"WGOA","abundance"
1986,"PAV.CAPELIN.CPUE",-1.002,"WGOA","abundance"
1987,"PAV.CAPELIN.CPUE",-1.869,"WGOA","abundance"
1988,"PAV.CAPELIN.CPUE",-1.516,"WGOA","abundance"
1989,"PAV.CAPELIN.CPUE",-1.658,"WGOA","abundance"
1990,"PAV.CAPELIN.CPUE",-1.692,"WGOA","abundance"
1991,"PAV.CAPELIN.CPUE",-1.597,"WGOA","abundance"
1992,"PAV.CAPELIN.CPUE",-1.917,"WGOA","abundance"
1993,"PAV.CAPELIN.CPUE",-1.956,"WGOA","abundance"
1994,"PAV.CAPELIN.CPUE",-1.944,"WGOA","abundance"
1995,"PAV.CAPELIN.CPUE",-1.949,"WGOA","abundance"
1996,"PAV.CAPELIN.CPUE",-1.991,"WGOA","abundance"
1997,"PAV.CAPELIN.CPUE",-1.731,"WGOA","abundance"
1998,"PAV.CAPELIN.CPUE",-1.846,"WGOA","abundance"
1999,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2000,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2001,"PAV.CAPELIN.CPUE",-1.903,"WGOA","abundance"
2002,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2003,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2004,"PAV.CAPELIN.CPUE",-1.408,"WGOA","abundance"
2005,"PAV.CAPELIN.CPUE",-1.807,"WGOA","abundance"
2006,"PAV.CAPELIN.CPUE",-1.888,"WGOA","abundance"
2007,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2008,"PAV.CAPELIN.CPUE",-1.952,"WGOA","abundance"
2009,"PAV.CAPELIN.CPUE",-1.926,"WGOA","abundance"
2010,"PAV.CAPELIN.CPUE",-1.809,"WGOA","abundance"
2011,"PAV.CAPELIN.CPUE",-1.935,"WGOA","abundance"
2012,"PAV.CAPELIN.CPUE",-1.893,"WGOA","abundance"
2013,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2014,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
2015,"PAV.CAPELIN.CPUE",-2,"WGOA","abundance"
1972,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1973,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1974,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1975,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1976,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1977,"PAV.EULACHON.CPUE",-1.836,"WGOA","abundance"
1978,"PAV.EULACHON.CPUE",-1.806,"WGOA","abundance"
1979,"PAV.EULACHON.CPUE",-1.95,"WGOA","abundance"
1980,"PAV.EULACHON.CPUE",-1.943,"WGOA","abundance"
1981,"PAV.EULACHON.CPUE",-1.643,"WGOA","abundance"
1982,"PAV.EULACHON.CPUE",-1.562,"WGOA","abundance"
1983,"PAV.EULACHON.CPUE",-1.662,"WGOA","abundance"
1984,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1985,"PAV.EULACHON.CPUE",-1.811,"WGOA","abundance"
1986,"PAV.EULACHON.CPUE",-1.383,"WGOA","abundance"
1987,"PAV.EULACHON.CPUE",-1.562,"WGOA","abundance"
1988,"PAV.EULACHON.CPUE",-2,"WGOA","abundance"
1989,"PAV.EULACHON.CPUE",-1.538,"WGOA","abundance"
1990,"PAV.EULACHON.CPUE",-1.597,"WGOA","abundance"
1991,"PAV.EULACHON.CPUE",-1.539,"WGOA","abundance"
1992,"PAV.EULACHON.CPUE",-1.722,"WGOA","abundance"
1993,"PAV.EULACHON.CPUE",-1.878,"WGOA","abundance"
1994,"PAV.EULACHON.CPUE",-1.76,"WGOA","abundance"
1995,"PAV.EULACHON.CPUE",-1.789,"WGOA","abundance"
1996,"PAV.EULACHON.CPUE",-1.813,"WGOA","abundance"
1997,"PAV.EULACHON.CPUE",-1.843,"WGOA","abundance"
1998,"PAV.EULACHON.CPUE",-1.315,"WGOA","abundance"
1999,"PAV.EULACHON.CPUE",-1.32,"WGOA","abundance"
2000,"PAV.EULACHON.CPUE",-1.653,"WGOA","abundance"
2001,"PAV.EULACHON.CPUE",-1.673,"WGOA","abundance"
2002,"PAV.EULACHON.CPUE",-1.647,"WGOA","abundance"
2003,"PAV.EULACHON.CPUE",-1.617,"WGOA","abundance"
2004,"PAV.EULACHON.CPUE",-1.911,"WGOA","abundance"
2005,"PAV.EULACHON.CPUE",-1.611,"WGOA","abundance"
2006,"PAV.EULACHON.CPUE",-1.937,"WGOA","abundance"
2007,"PAV.EULACHON.CPUE",-1.458,"WGOA","abundance"
2008,"PAV.EULACHON.CPUE",-1.911,"WGOA","abundance"
2009,"PAV.EULACHON.CPUE",-1.752,"WGOA","abundance"
2010,"PAV.EULACHON.CPUE",-0.975,"WGOA","abundance"
2011,"PAV.EULACHON.CPUE",-0.994,"WGOA","abundance"
2012,"PAV.EULACHON.CPUE",-1.607,"WGOA","abundance"
2013,"PAV.EULACHON.CPUE",-1.743,"WGOA","abundance"
2014,"PAV.EULACHON.CPUE",-1.378,"WGOA","abundance"
2015,"PAV.EULACHON.CPUE",-1.829,"WGOA","abundance"
1972,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
1973,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
1974,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
1975,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
1976,"PAV.JELLY.CPUE",-2,"WGOA","abundance"
1977,"PAV.JELLY.CPUE",-1.382,"WGOA","abundance"
1978,"PAV.JELLY.CPUE",-0.996,"WGOA","abundance"
1979,"PAV.JELLY.CPUE",-1.651,"WGOA","abundance"
1980,"PAV.JELLY.CPUE",-1.925,"WGOA","abundance"
1981,"PAV.JELLY.CPUE",-0.51,"WGOA","abundance"
1982,"PAV.JELLY.CPUE",-1.878,"WGOA","abundance"
1983,"PAV.JELLY.CPUE",1.173,"WGOA","abundance"
1984,"PAV.JELLY.CPUE",-0.265,"WGOA","abundance"
1985,"PAV.JELLY.CPUE",-1.89,"WGOA","abundance"
1986,"PAV.JELLY.CPUE",-0.415,"WGOA","abundance"
